Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered,City
Hubei,Mainland China,2/21/2020 20:00,63454,2250,13557,
Guangdong,Mainland China,2/21/2020 20:00,1333,5,690,
Henan,Mainland China,2/21/2020 20:00,1267,19,736,
Zhejiang,Mainland China,2/21/2020 20:00,1203,1,679,
Hunan,Mainland China,2/21/2020 20:00,1011,4,661,
Anhui,Mainland China,2/21/2020 20:00,988,6,539,
Jiangxi,Mainland China,2/21/2020 20:00,934,1,489,
Jiangsu,Mainland China,2/21/2020 20:00,631,0,373,
Chongqing,Mainland China,2/21/2020 20:00,572,6,316,
Shandong,Mainland China,2/21/2020 20:00,749,4,281,
Sichuan,Mainland China,2/21/2020 20:00,525,3,231,
Heilongjiang,Mainland China,2/21/2020 20:00,479,12,175,
Beijing,Mainland China,2/21/2020 20:00,396,4,169,
Shanghai,Mainland China,2/21/2020 20:00,334,2,211,
Hebei,Mainland China,2/21/2020 20:00,308,5,184,
Fujian,Mainland China,2/21/2020 20:00,293,1,149,
Guangxi,Mainland China,2/21/2020 20:00,246,2,97,
Shaanxi,Mainland China,2/21/2020 20:00,245,1,134,
Yunnan,Mainland China,2/21/2020 20:00,174,2,96,
Hainan,Mainland China,2/21/2020 20:00,168,4,95,
Guizhou,Mainland China,2/21/2020 20:00,146,2,77,
Shanxi,Mainland China,2/21/2020 20:00,132,0,78,
Tianjin,Mainland China,2/21/2020 20:00,132,3,62,
Liaoning,Mainland China,2/21/2020 20:00,121,1,61,
Gansu,Mainland China,2/21/2020 20:00,91,2,76,
Jilin,Mainland China,2/21/2020 20:00,91,1,45,
Xinjiang,Mainland China,2/21/2020 20:00,76,1,24,
Ningxia,Mainland China,2/21/2020 20:00,71,0,48,
Inner Mongolia,Mainland China,2/21/2020 20:00,75,0,17,
Hong Kong,Hong Kong,2/21/2020 20:00,68,2,6,
Qinghai,Mainland China,2/21/2020 20:00,18,0,18,
Taiwan,Taiwan,2/21/2020 20:00,26,1,2,
Macau,Macau,2/21/2020 20:00,10,0,6,
Tibet,Mainland China,2/21/2020 20:00,1,0,1,
Yokohama,Japan,2/21/2020 20:00,634,2,3,
,Singapore,2/21/2020 20:00,86,0,47,
,Japan,2/21/2020 20:00,109,1,22,
,Thailand,2/21/2020 20:00,35,0,15,
,South Korea,2/21/2020 20:00,209,2,17,
,Malaysia,2/21/2020 20:00,22,0,17,
,Germany,2/21/2020 20:00,16,0,14,
,Vietnam,2/21/2020 20:00,16,0,15,
,France,2/21/2020 20:00,12,1,7,
,UK,2/21/2020 20:00,9,0,8,
,United Arab Emirates,2/21/2020 20:00,11,0,3,
,Italy,2/21/2020 20:00,21,1,1,
,Iran,2/21/2020 20:00,18,4,0,
,Russia,2/21/2020 20:00,2,0,2,
,India,2/21/2020 20:00,3,0,3,
,Philippines,2/21/2020 20:00,3,1,2,
,Spain,2/21/2020 20:00,2,0,2,
,Cambodia,2/21/2020 20:00,1,0,1,
,Finland,2/21/2020 20:00,1,0,1,
,Sri Lanka,2/21/2020 20:00,1,0,1,
,Nepal,2/21/2020 20:00,1,0,1,
,Sweden,2/21/2020 20:00,1,0,0,
,Egypt,2/21/2020 20:00,1,0,1,
,Israel,2/21/2020 20:00,1,0,0,
,Lebanon,2/21/2020 20:00,1,0,0,
Brussels,Belgium,2/21/2020 20:00,1,0,1,
British Columbia,Canada,2/21/2020 20:00,6,0,0,
Ontario,Canada,2/21/2020 20:00,3,0,1,
Illinois,US,2/21/2020 20:00,2,0,2,Chicago
Massachusetts,US,2/21/2020 20:00,1,0,0,Boston
WA,US,2/21/2020 20:00,1,0,1,Seattle
Arizona,US,2/21/2020 20:00,1,0,0,Tempe
Wisconsin,US,2/21/2020 20:00,1,0,0,Madison
Texas,US,2/21/2020 20:00,1,0,0,San Antonio
California,US,2/21/2020 20:00,10,0,2,"Sacramento, San Diego, San Benito, Los Angeles, Orange, Santa Clara, Humboldt"
Nebraska,US,2/21/2020 20:00,18,0,0,
Victoria,Australia,2/21/2020 20:00,6,0,4,
New South Wales,Australia,2/21/2020 20:00,4,0,4,
Queensland,Australia,2/21/2020 20:00,5,0,0,
Western Australia,Australia,2/21/2020 20:00,1,0,0,
South Australia,Australia,2/21/2020 20:00,3,0,2,
