Province/State,Country/Region,Last Update,Confirmed,Recovered,Deaths,City
Hubei,Mainland China,2/10/2020 20:00,31728,2222,974,
Guangdong,Mainland China,2/10/2020 20:00,1159,165,1,
Zhejiang,Mainland China,2/10/2020 20:00,1092,239,0,
Henan,Mainland China,2/10/2020 20:00,1105,198,7,
Hunan,Mainland China,2/10/2020 20:00,879,208,1,
Anhui,Mainland China,2/10/2020 20:00,860,89,4,
Jiangxi,Mainland China,2/10/2020 20:00,771,102,1,
Jiangsu,Mainland China,2/10/2020 20:00,515,84,0,
Chongqing,Mainland China,2/10/2020 20:00,486,66,2,
Shandong,Mainland China,2/10/2020 20:00,486,71,1,
Sichuan,Mainland China,2/10/2020 20:00,417,82,1,
Beijing,Mainland China,2/10/2020 20:00,337,44,2,
Heilongjiang,Mainland China,2/10/2020 20:00,360,27,8,
Shanghai,Mainland China,2/10/2020 20:00,302,48,1,
Fujian,Mainland China,2/10/2020 20:00,267,39,0,
Hebei,Mainland China,2/10/2020 20:00,239,41,2,
Shaanxi,Mainland China,2/10/2020 20:00,213,30,0,
Guangxi,Mainland China,2/10/2020 20:00,215,30,1,
Yunnan,Mainland China,2/10/2020 20:00,149,19,0,
Hainan,Mainland China,2/10/2020 20:00,138,19,3,
Yokohama,Japan,2/10/2020 20:00,135,0,0,
Shanxi,Mainland China,2/10/2020 20:00,122,26,0,
Guizhou,Mainland China,2/10/2020 20:00,109,7,1,
Liaoning,Mainland China,2/10/2020 20:00,108,13,0,
Tianjin,Mainland China,2/10/2020 20:00,95,8,1,
Gansu,Mainland China,2/10/2020 20:00,86,21,2,
Jilin,Mainland China,2/10/2020 20:00,81,13,1,
Inner Mongolia,Mainland China,2/10/2020 20:00,58,5,0,
Ningxia,Mainland China,2/10/2020 20:00,49,14,0,
Xinjiang,Mainland China,2/10/2020 20:00,55,0,0,
,Singapore,2/10/2020 20:00,45,7,0,
Hong Kong,Hong Kong,2/10/2020 20:00,42,0,1,
,Thailand,2/10/2020 20:00,32,10,0,
,South Korea,2/10/2020 20:00,27,3,0,
,Japan,2/10/2020 20:00,26,9,0,
Qinghai,Mainland China,2/10/2020 20:00,18,3,0,
Taiwan,Taiwan,2/10/2020 20:00,18,1,0,
,Malaysia,2/10/2020 20:00,18,3,0,
,Germany,2/10/2020 20:00,14,0,0,
,Vietnam,2/10/2020 20:00,14,3,0,
,France,2/10/2020 20:00,11,0,0,
Macau,Macau,2/10/2020 20:00,10,1,0,
,UK,2/10/2020 20:00,8,0,0,
,United Arab Emirates,2/10/2020 20:00,8,0,0,
California,US,2/10/2020 20:00,6,0,0,"San Benito, Los Angeles, Orange, Santa Clara"
Queensland,Australia,2/10/2020 20:00,5,0,0,
New South Wales,Australia,2/10/2020 20:00,4,3,0,
Victoria,Australia,2/10/2020 20:00,4,2,0,
British Columbia,Canada,2/10/2020 20:00,4,0,0,
Ontario,Canada,2/10/2020 20:00,3,0,0,
,India,2/10/2020 20:00,3,0,0,
,Philippines,2/10/2020 20:00,3,2,1,
,Italy,2/10/2020 20:00,3,0,0,
,Russia,2/10/2020 20:00,2,0,0,
Illinois,US,2/10/2020 20:00,2,2,0,Chicago
South Australia,Australia,2/10/2020 20:00,2,0,0,
,Spain,2/10/2020 20:00,2,0,0,
,Cambodia,2/10/2020 20:00,1,1,0,
,Finland,2/10/2020 20:00,1,1,0,
,Sri Lanka,2/10/2020 20:00,1,1,0,
Tibet,Mainland China,2/10/2020 20:00,1,0,0,
,Nepal,2/10/2020 20:00,1,0,0,
,Sweden,2/10/2020 20:00,1,0,0,
Massachusetts,US,2/10/2020 20:00,1,0,0,Boston
WA,US,2/10/2020 20:00,1,0,0,Seattle
Arizona,US,2/10/2020 20:00,1,0,0,Tempe
Brussels,Belgium,2/10/2020 20:00,1,0,0,
WI,US,2/10/2020 20:00,1,0,0,Madison
