Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered,Tests,Critical
Beijing,Mainland China,6/30/2020 07:00,919,9,586,0,0
Shanghai,Mainland China,6/30/2020 07:00,712,7,675,0,0
Gansu,Mainland China,6/30/2020 07:00,164,2,143,0,0
Hebei,Mainland China,6/30/2020 07:00,349,6,334,0,0
Sichuan,Mainland China,6/30/2020 07:00,595,3,578,0,0
Shaanxi,Mainland China,6/30/2020 07:00,320,3,308,0,0
Guangdong,Mainland China,6/30/2020 07:00,1641,8,1627,0,0
Fujian,Mainland China,6/30/2020 07:00,363,1,357,0,0
Liaoning,Mainland China,6/30/2020 07:00,155,2,147,0,0
Chongqing,Mainland China,6/30/2020 07:00,582,6,573,0,0
Tianjin,Mainland China,6/30/2020 07:00,198,3,194,0,0
Zhejiang,Mainland China,6/30/2020 07:00,1269,1,1267,0,0
Hubei,Mainland China,6/30/2020 07:00,68135,4512,63623,0,0
Henan,Mainland China,6/30/2020 07:00,1276,22,1254,0,0
Hunan,Mainland China,6/30/2020 07:00,1019,4,1015,0,0
Anhui,Mainland China,6/30/2020 07:00,991,6,985,0,0
Heilongjiang,Mainland China,6/30/2020 07:00,945,13,932,0,0
Jiangxi,Mainland China,6/30/2020 07:00,937,1,936,0,0
Shandong,Mainland China,6/30/2020 07:00,792,7,785,0,0
Jiangsu,Mainland China,6/30/2020 07:00,654,0,654,0,0
Guangxi,Mainland China,6/30/2020 07:00,254,2,252,0,0
Inner Mongolia,Mainland China,6/30/2020 07:00,238,1,237,0,0
Shanxi,Mainland China,6/30/2020 07:00,198,0,198,0,0
Yunnan,Mainland China,6/30/2020 07:00,185,2,183,0,0
Hainan,Mainland China,6/30/2020 07:00,171,6,163,0,0
Jilin,Mainland China,6/30/2020 07:00,155,2,153,0,0
Guizhou,Mainland China,6/30/2020 07:00,147,2,145,0,0
Xinjiang,Mainland China,6/30/2020 07:00,76,3,73,0,0
Ningxia,Mainland China,6/30/2020 07:00,75,0,75,0,0
Qinghai,Mainland China,6/30/2020 07:00,18,0,18,0,0
Tibet,Mainland China,6/30/2020 07:00,1,0,1,0,0
New South Wales,Australia,6/30/2020 07:00,3189,48,2784,855324,0
Queensland,Australia,6/30/2020 07:00,1067,6,1054,364981,0
Victoria,Australia,6/30/2020 07:00,2159,20,1816,809589,0
