Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered
,Switzerland,3/22/2020 20:00,7474,98,131
,UK,3/22/2020 20:00,5683,281,93
,Netherlands,3/22/2020 20:00,4204,179,2
,Austria,3/22/2020 20:00,3580,16,9
Brussels,Belgium,3/22/2020 20:00,3401,75,263
,Norway,3/22/2020 20:00,2263,7,6
,Sweden,3/22/2020 20:00,1931,21,16
,Portugal,3/22/2020 20:00,1600,14,5
,Brazil,3/22/2020 20:00,1546,25,2
,Denmark,3/22/2020 20:00,1395,13,1
,Malaysia,3/22/2020 20:00,1306,10,139
,Turkey,3/22/2020 20:00,1236,30,0
,Czechia,3/22/2020 20:00,1120,1,6
,Japan,3/22/2020 20:00,1086,36,235
,Israel,3/22/2020 20:00,1071,1,37
,Ireland,3/22/2020 20:00,906,4,5
,Luxembourg,3/22/2020 20:00,798,8,6
,Ecuador,3/22/2020 20:00,789,14,3
,Pakistan,3/22/2020 20:00,776,4,13
Yokohama,Japan,3/22/2020 20:00,712,8,567
,Poland,3/22/2020 20:00,634,7,13
,Chile,3/22/2020 20:00,632,1,8
,Finland,3/22/2020 20:00,626,1,10
,Greece,3/22/2020 20:00,624,15,19
,Thailand,3/22/2020 20:00,599,1,44
,Iceland,3/22/2020 20:00,568,1,5
,Indonesia,3/22/2020 20:00,514,48,29
,Saudi Arabia,3/22/2020 20:00,511,0,17
,Qatar,3/22/2020 20:00,494,0,33
,Singapore,3/22/2020 20:00,455,2,144
,Romania,3/22/2020 20:00,433,3,64
,Slovenia,3/22/2020 20:00,414,2,0
,India,3/22/2020 20:00,396,7,24
,Philippines,3/22/2020 20:00,380,25,15
,Russia,3/22/2020 20:00,367,1,16
,Peru,3/22/2020 20:00,363,5,1
,Bahrain,3/22/2020 20:00,334,2,149
,Egypt,3/22/2020 20:00,327,14,56
,Estonia,3/22/2020 20:00,326,0,4
Hong Kong,Hong Kong,3/22/2020 20:00,317,4,100
,Panama,3/22/2020 20:00,313,3,1
,South Africa,3/22/2020 20:00,274,0,2
,Argentina,3/22/2020 20:00,266,4,27
,Croatia,3/22/2020 20:00,254,1,5
,Mexico,3/22/2020 20:00,251,2,4
,Lebanon,3/22/2020 20:00,248,4,8
,Iraq,3/22/2020 20:00,233,20,57
,Colombia,3/22/2020 20:00,231,2,3
,Serbia,3/22/2020 20:00,222,2,2
,Dominican Republic,3/22/2020 20:00,202,3,0
,Algeria,3/22/2020 20:00,201,17,65
,Armenia,3/22/2020 20:00,194,0,2
,Kuwait,3/22/2020 20:00,188,0,30
,Bulgaria,3/22/2020 20:00,187,3,3
,Slovakia,3/22/2020 20:00,185,0,7
,San Marino,3/22/2020 20:00,175,20,4
Taiwan,Taiwan,3/22/2020 20:00,169,2,28
,Uruguay,3/22/2020 20:00,158,0,0
,United Arab Emirates,3/22/2020 20:00,153,2,38
,Lithuania,3/22/2020 20:00,143,1,1
,Latvia,3/22/2020 20:00,139,0,1
,Costa Rica,3/22/2020 20:00,134,2,2
,Hungary,3/22/2020 20:00,131,6,16
,Bosnia and Herzegovina,3/22/2020 20:00,126,1,2
,Morocco,3/22/2020 20:00,115,4,3
,North Macedonia,3/22/2020 20:00,115,1,1
,Faeroe Islands,3/22/2020 20:00,115,0,3
,Andorra,3/22/2020 20:00,113,1,1
,Vietnam,3/22/2020 20:00,113,0,17
,Jordan,3/22/2020 20:00,112,0,1
,New Zealand,3/22/2020 20:00,102,0,0
,Cyprus,3/22/2020 20:00,95,1,3
,Moldova,3/22/2020 20:00,94,1,1
,Malta,3/22/2020 20:00,90,0,2
,Albania,3/22/2020 20:00,89,2,2
,Brunei,3/22/2020 20:00,88,0,2
,Cambodia,3/22/2020 20:00,84,0,2
,Sri Lanka,3/22/2020 20:00,82,0,3
,Belarus,3/22/2020 20:00,76,0,15
,Burkina Faso,3/22/2020 20:00,75,4,5
,Tunisia,3/22/2020 20:00,75,3,1
,Ukraine,3/22/2020 20:00,73,3,1
,Venezuela,3/22/2020 20:00,70,0,15
,Senegal,3/22/2020 20:00,67,0,5
,Azerbaijan,3/22/2020 20:00,65,1,11
,Kazakhstan,3/22/2020 20:00,59,0,0
,Palestine,3/22/2020 20:00,59,0,17
,Guadeloupe,3/22/2020 20:00,56,1,0
,Oman,3/22/2020 20:00,55,0,17
,Georgia,3/22/2020 20:00,54,0,1
,Trinidad and Tobago,3/22/2020 20:00,50,0,0
,Reunion,3/22/2020 20:00,47,0,1
,Uzbekistan,3/22/2020 20:00,43,0,0
,Afghanistan,3/22/2020 20:00,40,1,1
,Cameroon,3/22/2020 20:00,40,0,2
,Martinique,3/22/2020 20:00,37,1,0
,Liechtenstein,3/22/2020 20:00,37,0,0
,Cuba,3/22/2020 20:00,35,1,0
,Channel Islands,3/22/2020 20:00,32,0,0
,DRC,3/22/2020 20:00,30,1,0
,Nigeria,3/22/2020 20:00,30,0,2
,Mauritius,3/22/2020 20:00,28,2,0
,Bangladesh,3/22/2020 20:00,27,2,3
,Guam,3/22/2020 20:00,27,1,0
,Honduras,3/22/2020 20:00,26,0,0
,Bolivia,3/22/2020 20:00,24,0,0
,Ghana,3/22/2020 20:00,23,1,0
,Puerto Rico,3/22/2020 20:00,23,1,0
,Monaco,3/22/2020 20:00,23,0,1
,Paraguay,3/22/2020 20:00,22,1,0
Macau,Macau,3/22/2020 20:00,22,0,10
,Montenegro,3/22/2020 20:00,21,0,0
,Guatemala,3/22/2020 20:00,19,1,0
,Jamaica,3/22/2020 20:00,19,1,2
,Rwanda,3/22/2020 20:00,19,0,0
,Guyana,3/22/2020 20:00,18,1,0
,French Guiana,3/22/2020 20:00,18,0,0
,French Polynesia,3/22/2020 20:00,18,0,0
,Togo,3/22/2020 20:00,16,0,0
,Gibraltar,3/22/2020 20:00,15,0,2
,Kenya,3/22/2020 20:00,15,0,0
,Barbados,3/22/2020 20:00,14,0,0
,Ivory Coast,3/22/2020 20:00,14,0,1
,Kyrgyzstan,3/22/2020 20:00,14,0,0
,Maldives,3/22/2020 20:00,13,0,3
,Tanzania,3/22/2020 20:00,12,0,0
,Ethiopia,3/22/2020 20:00,11,0,0
,Mayotte,3/22/2020 20:00,11,0,0
,Mongolia,3/22/2020 20:00,10,0,0
,Aruba,3/22/2020 20:00,9,0,1
,Seychelles,3/22/2020 20:00,7,0,0
,Bermuda,3/22/2020 20:00,6,0,0
,Equatorial Guinea,3/22/2020 20:00,6,0,0
,U.S. Virgin Islands,3/22/2020 20:00,6,0,0
,Gabon,3/22/2020 20:00,5,1,0
,Isle of Man,3/22/2020 20:00,5,0,0
,Saint Martin,3/22/2020 20:00,5,0,0
,Suriname,3/22/2020 20:00,5,0,0
,Bahamas,3/22/2020 20:00,4,0,0
,Greenland,3/22/2020 20:00,4,0,0
,New Caledonia,3/22/2020 20:00,4,0,0
,Eswatini,3/22/2020 20:00,4,0,0
,Cayman Islands,3/22/2020 20:00,3,1,0
,Curacao,3/22/2020 20:00,3,1,0
,Cabo Verde,3/22/2020 20:00,3,0,0
,CAR,3/22/2020 20:00,3,0,0
,Congo,3/22/2020 20:00,3,0,0
,El Salvador,3/22/2020 20:00,3,0,0
,Liberia,3/22/2020 20:00,3,0,0
,Madagascar,3/22/2020 20:00,3,0,0
,Namibia,3/22/2020 20:00,3,0,0
,St. Barth,3/22/2020 20:00,3,0,0
,Zambia,3/22/2020 20:00,3,0,0
,Zimbabwe,3/22/2020 20:00,3,0,0
,Sudan,3/22/2020 20:00,2,1,0
,Angola,3/22/2020 20:00,2,0,0
,Benin,3/22/2020 20:00,2,0,0
,Bhutan,3/22/2020 20:00,2,0,0
,Fiji,3/22/2020 20:00,2,0,0
,Guinea,3/22/2020 20:00,2,0,0
,Haiti,3/22/2020 20:00,2,0,0
,Mauritania,3/22/2020 20:00,2,0,0
,Nicaragua,3/22/2020 20:00,2,0,0
,Niger,3/22/2020 20:00,2,0,0
,Saint Lucia,3/22/2020 20:00,2,0,0
,Nepal,3/22/2020 20:00,1,0,1
,Antigua and Barbuda,3/22/2020 20:00,1,0,0
,Chad,3/22/2020 20:00,1,0,0
,Djibouti,3/22/2020 20:00,1,0,0
,Dominica,3/22/2020 20:00,1,0,0
,Eritrea,3/22/2020 20:00,1,0,0
,Gambia,3/22/2020 20:00,1,0,0
,Grenada,3/22/2020 20:00,1,0,0
,Vatican City,3/22/2020 20:00,1,0,0
,Montserrat,3/22/2020 20:00,1,0,0
,Mozambique,3/22/2020 20:00,1,0,0
,Papua New Guinea,3/22/2020 20:00,1,0,0
,St. Vincent Grenadines,3/22/2020 20:00,1,0,0
,Sint Maarten,3/22/2020 20:00,1,0,0
,Somalia,3/22/2020 20:00,1,0,0
,Syria,3/22/2020 20:00,1,0,0
,Timor-Leste,3/22/2020 20:00,1,0,0
,Uganda,3/22/2020 20:00,1,0,0
