Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered,Tests,Critical
Beijing,Mainland China,7/08/2020 07:00,929,9,613,0,0
Shanghai,Mainland China,7/08/2020 07:00,718,7,688,0,0
Gansu,Mainland China,7/08/2020 07:00,167,2,159,0,0
Hebei,Mainland China,7/08/2020 07:00,349,6,337,0,0
Sichuan,Mainland China,7/08/2020 07:00,598,3,581,0,0
Shaanxi,Mainland China,7/08/2020 07:00,321,3,313,0,0
Guangdong,Mainland China,7/08/2020 07:00,1645,8,1631,0,0
Fujian,Mainland China,7/08/2020 07:00,363,1,360,0,0
Liaoning,Mainland China,7/08/2020 07:00,159,2,150,0,0
Chongqing,Mainland China,7/08/2020 07:00,582,6,574,0,0
Tianjin,Mainland China,7/08/2020 07:00,199,3,194,0,0
Zhejiang,Mainland China,7/08/2020 07:00,1269,1,1267,0,0
Shanxi,Mainland China,7/08/2020 07:00,199,0,198,0,0
Yunnan,Mainland China,7/08/2020 07:00,187,2,183,0,0
Inner Mongolia,Mainland China,7/08/2020 07:00,244,1,237,0,0
Hubei,Mainland China,7/08/2020 07:00,68135,4512,63623,0,0
Henan,Mainland China,7/08/2020 07:00,1276,22,1254,0,0
Hunan,Mainland China,7/08/2020 07:00,1019,4,1015,0,0
Anhui,Mainland China,7/08/2020 07:00,991,6,985,0,0
Heilongjiang,Mainland China,7/08/2020 07:00,945,13,932,0,0
Jiangxi,Mainland China,7/08/2020 07:00,937,1,936,0,0
Shandong,Mainland China,7/08/2020 07:00,792,7,785,0,0
Jiangsu,Mainland China,7/08/2020 07:00,654,0,654,0,0
Guangxi,Mainland China,7/08/2020 07:00,254,2,252,0,0
Hainan,Mainland China,7/08/2020 07:00,171,6,163,0,0
Jilin,Mainland China,7/08/2020 07:00,155,2,153,0,0
Guizhou,Mainland China,7/08/2020 07:00,147,2,145,0,0
Xinjiang,Mainland China,7/08/2020 07:00,76,3,73,0,0
Ningxia,Mainland China,7/08/2020 07:00,75,0,75,0,0
Qinghai,Mainland China,7/08/2020 07:00,18,0,18,0,0
Tibet,Mainland China,7/08/2020 07:00,1,0,1,0,0
New South Wales,Australia,7/08/2020 07:00,3251,48,2797,979060,0
