Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered,Tests,Critical
Heilongjiang,Mainland China,4/28/2020 16:30,939,13,586,0,0
Shanghai,Mainland China,4/28/2020 16:30,644,7,584,0,0
Inner Mongolia,Mainland China,4/28/2020 16:30,199,1,145,0,0
Shaanxi,Mainland China,4/28/2020 16:30,306,3,253,0,0
Beijing,Mainland China,4/28/2020 16:30,593,9,525,0,0
Shanxi,Mainland China,4/28/2020 16:30,197,0,160,0,0
Guangdong,Mainland China,4/28/2020 16:30,1587,8,1547,0,0
Shandong,Mainland China,4/28/2020 16:30,787,7,768,0,0
Jilin,Mainland China,4/28/2020 16:30,110,1,99,0,0
Jiangsu,Mainland China,4/28/2020 16:30,653,0,646,0,0
Zhejiang,Mainland China,4/28/2020 16:30,1268,1,1261,0,0
Fujian,Mainland China,4/28/2020 16:30,355,1,349,0,0
Tianjin,Mainland China,4/28/2020 16:30,190,3,182,0,0
Hebei,Mainland China,4/28/2020 16:30,328,6,318,0,0
Yunnan,Mainland China,4/28/2020 16:30,185,2,181,0,0
Liaoning,Mainland China,4/28/2020 16:30,146,2,143,0,0
Hubei,Mainland China,4/28/2020 16:30,68128,4512,63616,0,0
Henan,Mainland China,4/28/2020 16:30,1276,22,1254,0,0
Hunan,Mainland China,4/28/2020 16:30,1019,4,1015,0,0
Anhui,Mainland China,4/28/2020 16:30,991,6,985,0,0
Jiangxi,Mainland China,4/28/2020 16:30,937,1,936,0,0
Chongqing,Mainland China,4/28/2020 16:30,579,6,573,0,0
Sichuan,Mainland China,4/28/2020 16:30,561,3,558,0,0
Guangxi,Mainland China,4/28/2020 16:30,254,2,252,0,0
Hainan,Mainland China,4/28/2020 16:30,168,6,162,0,0
Guizhou,Mainland China,4/28/2020 16:30,147,2,145,0,0
Gansu,Mainland China,4/28/2020 16:30,139,2,137,0,0
Xinjiang,Mainland China,4/28/2020 16:30,76,3,73,0,0
Ningxia,Mainland China,4/28/2020 16:30,75,0,75,0,0
Qinghai,Mainland China,4/28/2020 16:30,18,0,18,0,0
Tibet,Mainland China,4/28/2020 16:30,1,0,1,0,0
New South Wales,Australia,4/28/2020 16:30,3009,35,2243,207245,0
Queensland,Australia,4/28/2020 16:30,1033,6,934,101767,0
Victoria,Australia,4/28/2020 16:30,1351,17,1280,109000,0
South Australia,Australia,4/28/2020 16:30,438,4,420,54082,0
Western Australia,Australia,4/28/2020 16:30,550,8,486,35704,0
Tasmania,Australia,4/28/2020 16:30,217,11,135,10052,0
Australian Capital Territory,Australia,4/28/2020 16:30,106,3,101,8348,0
Northern Territory,Australia,4/28/2020 16:30,27,0,23,4245,0
New York,US,4/28/2020 16:30,301357,23134,32805,0,0
New Jersey,US,4/28/2020 16:30,113856,6442,730,0,0
Massachusetts,US,4/28/2020 16:30,58302,3153,1299,0,0
Illinois,US,4/28/2020 16:30,48102,2125,645,0,0
California,US,4/28/2020 16:30,45500,1810,3647,0,0
Pennsylvania,US,4/28/2020 16:30,45137,2046,765,0,0
Michigan,US,4/28/2020 16:30,39262,3568,8342,0,0
Florida,US,4/28/2020 16:30,32848,1171,174,0,0
Louisiana,US,4/28/2020 16:30,27286,1801,17303,0,0
Connecticut,US,4/28/2020 16:30,26312,2087,63,0,0
Texas,US,4/28/2020 16:30,26221,707,9685,0,0
Georgia,US,4/28/2020 16:30,24810,1036,340,0,0
Maryland,US,4/28/2020 16:30,20113,910,1263,0,0
Ohio,US,4/28/2020 16:30,16769,799,448,0,0
Indiana,US,4/28/2020 16:30,16588,901,1559,0,0
WA,US,4/28/2020 16:30,14228,772,1839,0,0
Colorado,US,4/28/2020 16:30,13879,706,559,0,0
Virginia,US,4/28/2020 16:30,14339,492,721,0,0
Tennessee,US,4/28/2020 16:30,10052,188,4954,0,0
North Carolina,US,4/28/2020 16:30,9737,361,1709,0,0
Rhode Island,US,4/28/2020 16:30,7927,239,466,0,0
Missouri,US,4/28/2020 16:30,7409,330,1717,0,0
Veteran Affair,US,4/28/2020 16:30,7429,461,0,0,0
Arizona,US,4/28/2020 16:30,6955,275,6,0,0
Alabama,US,4/28/2020 16:30,6687,242,0,0,0
US Military,US,4/28/2020 16:30,6213,26,1947,0,0
Mississippi,US,4/28/2020 16:30,6342,239,0,0,0
Wisconsin,US,4/28/2020 16:30,6289,300,2882,0,0
South Carolina,US,4/28/2020 16:30,5618,177,0,0,0
Iowa,US,4/28/2020 16:30,6376,136,2164,0,0
Nevada,US,4/28/2020 16:30,4805,218,2749,0,0
Utah,US,4/28/2020 16:30,4345,41,399,0,0
Kentucky,US,4/28/2020 16:30,4156,213,1174,0,0
Delaware,US,4/28/2020 16:30,4575,137,1096,0,0
Washington DC,US,4/28/2020 16:30,3994,190,660,0,0
Minnesota,US,4/28/2020 16:30,4181,301,1912,0,0
Kansas,US,4/28/2020 16:30,3577,127,708,0,0
Oklahoma,US,4/28/2020 16:30,3410,207,2260,0,0
Nebraska,US,4/28/2020 16:30,3507,56,0,0,0
Arkansas,US,4/28/2020 16:30,3069,51,1053,0,0
New Mexico,US,4/28/2020 16:30,2825,99,632,0,0
Oregon,US,4/28/2020 16:30,2354,92,595,0,0
South Dakota,US,4/28/2020 16:30,2245,11,1316,0,0
Idaho,US,4/28/2020 16:30,1917,58,867,0,0
New Hampshire,US,4/28/2020 16:30,1938,60,798,0,0
Navajo Nation,US,4/28/2020 16:30,1540,58,0,0,0
Puerto Rico,US,4/28/2020 16:30,1400,86,0,0,0
Federal Bureau of Prisons,US,4/28/2020 16:30,1649,30,536,0,0
West Virginia,US,4/28/2020 16:30,1079,37,481,0,0
Maine,US,4/28/2020 16:30,1040,51,585,0,0
North Dakota,US,4/28/2020 16:30,991,19,409,0,0
Vermont,US,4/28/2020 16:30,862,47,0,0,0
Hawaii,US,4/28/2020 16:30,607,16,493,0,0
Wyoming,US,4/28/2020 16:30,520,7,334,0,0
Montana,US,4/28/2020 16:30,451,15,352,0,0
Alaska,US,4/28/2020 16:30,351,9,218,0,0
Guam,US,4/28/2020 16:30,141,5,128,0,0
Grand Princess,US,4/28/2020 16:30,103,3,0,0,0
US Virgin Islands,US,4/28/2020 16:30,57,4,51,0,0
Diamond Princess,US,4/28/2020 16:30,49,0,0,0,0
Northern Mariana Islands,US,4/28/2020 16:30,14,2,12,0,0
Quebec,Canada,4/28/2020 16:30,25761,1683,5841,0,0
Ontario,Canada,4/28/2020 16:30,16464,1070,8964,0,0
Alberta,Canada,4/28/2020 16:30,4696,75,1664,0,0
British Columbia,Canada,4/28/2020 16:30,1998,104,1190,0,0
Nova Scotia,Canada,4/28/2020 16:30,915,27,522,0,0
Saskatchewan,Canada,4/28/2020 16:30,366,5,291,0,0
Manitoba,Canada,4/28/2020 16:30,273,6,205,0,0
Newfoundland and Labrador,Canada,4/28/2020 16:30,258,3,221,0,0
New Brunswick,Canada,4/28/2020 16:30,118,0,112,0,0
Prince Edward Island,Canada,4/28/2020 16:30,26,0,24,0,0
