Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered,Tests,Critical,Date_last_updated_AEDT,Remaining,Population,lat,lon,Continent,World
Hubei,China,04/19/2020 07:00,68128,4512,63507,0,0,2020-04-19 22:00:00,109,58500000.0,31.151725199999998,112.87832220000001,Asia,Worldwide
Heilongjiang,China,04/19/2020 07:00,898,13,472,0,0,2020-04-19 22:00:00,413,38310000.0,48.000004700000005,127.99999199999999,Asia,Worldwide
Shanghai,China,04/19/2020 07:00,635,7,516,0,0,2020-04-19 22:00:00,112,24280000.0,31.225298499999997,121.4890497,Asia,Worldwide
Beijing,China,04/19/2020 07:00,593,8,510,0,0,2020-04-19 22:00:00,75,21540000.0,39.906217,116.3912757,Asia,Worldwide
Guangdong,China,04/19/2020 07:00,1580,8,1490,0,0,2020-04-19 22:00:00,82,113460000.0,23.135769399999997,113.19826880000001,Asia,Worldwide
Inner Mongolia,China,04/19/2020 07:00,193,1,104,0,0,2020-04-19 22:00:00,88,24710000.0,43.2443242,114.32516640000001,Asia,Worldwide
Fujian,China,04/19/2020 07:00,355,1,339,0,0,2020-04-19 22:00:00,15,38560000.0,26.5450001,117.84277800000001,Asia,Worldwide
Shanxi,China,04/19/2020 07:00,197,0,135,0,0,2020-04-19 22:00:00,62,36500000.0,37.0,112.0,Asia,Worldwide
Zhejiang,China,04/19/2020 07:00,1268,1,1247,0,0,2020-04-19 22:00:00,20,57370000.0,29.000000099999998,119.9999999,Asia,Worldwide
Tianjin,China,04/19/2020 07:00,189,3,173,0,0,2020-04-19 22:00:00,13,15621200.0,39.1235635,117.1980785,Asia,Worldwide
Shandong,China,04/19/2020 07:00,787,7,765,0,0,2020-04-19 22:00:00,15,100472400.0,36.0000001,118.9999999,Asia,Worldwide
Jiangsu,China,04/19/2020 07:00,653,0,643,0,0,2020-04-19 22:00:00,10,80400000.0,33.0000001,119.9999999,Asia,Worldwide
Sichuan,China,04/19/2020 07:00,561,3,554,0,0,2020-04-19 22:00:00,4,81100000.0,30.500000099999998,102.4999999,Asia,Worldwide
Liaoning,China,04/19/2020 07:00,146,2,142,0,0,2020-04-19 22:00:00,2,43900000.0,40.9739116,122.3263915,Asia,Worldwide
Yunnan,China,04/19/2020 07:00,184,2,178,0,0,2020-04-19 22:00:00,4,45970000.0,25.0,102.0,Asia,Worldwide
Hebei,China,04/19/2020 07:00,328,6,316,0,0,2020-04-19 22:00:00,6,74700000.0,39.0000001,116.0,Asia,Worldwide
