Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered,City,Date_last_updated_AEDT,lat,lon
Tianjin,China,02/04/2020 01:00,66,0,1,,2020-02-04 17:00:00,39.1235635,117.1980785
Gansu,China,02/04/2020 01:00,55,0,3,,2020-02-04 17:00:00,38.0000001,101.9999999
Guizhou,China,02/04/2020 01:00,56,0,2,,2020-02-04 17:00:00,27.0,107.0
Inner Mongolia,China,02/04/2020 01:00,35,0,1,,2020-02-04 17:00:00,43.2443242,114.3251664
Ningxia,China,02/04/2020 01:00,34,0,1,,2020-02-04 17:00:00,37.3095528,105.9608553
Jilin,China,02/04/2020 01:00,42,0,1,,2020-02-04 17:00:00,42.9995032,125.9816054
Xinjiang,China,02/04/2020 01:00,29,0,0,,2020-02-04 17:00:00,41.7574769,87.1673842
,Japan,02/04/2020 01:00,20,0,1,,2020-02-04 17:00:00,34.9046568,136.6310496
,Thailand,02/04/2020 01:00,19,0,7,,2020-02-04 17:00:00,18.7544594,100.624804
,Singapore,02/04/2020 01:00,18,0,0,,2020-02-04 17:00:00,1.340863,103.8303918
,South Korea,02/04/2020 01:00,15,0,0,,2020-02-04 17:00:00,36.5581914,127.9408564
Hong Kong,Hong Kong,02/04/2020 01:00,15,1,0,,2020-02-04 17:00:00,22.2793278,114.1628131
Qinghai,China,02/04/2020 01:00,15,0,0,,2020-02-04 17:00:00,35.4070952,95.9521157
,Germany,02/04/2020 01:00,12,0,0,,2020-02-04 17:00:00,51.3876262,7.0015229
Taiwan,Taiwan,02/04/2020 01:00,10,0,0,,2020-02-04 17:00:00,23.9739374,120.9820179
,Malaysia,02/04/2020 01:00,8,0,0,,2020-02-04 17:00:00,4.5693754,102.2656823
Macau,Macau,02/04/2020 01:00,10,0,0,,2020-02-04 17:00:00,22.1757605,113.5514142
,Vietnam,02/04/2020 01:00,8,0,1,,2020-02-04 17:00:00,13.2904027,108.4265113
,France,02/04/2020 01:00,6,0,0,,2020-02-04 17:00:00,45.1562575,5.4515829
,United Arab Emirates,02/04/2020 01:00,5,0,0,,2020-02-04 17:00:00,24.0002488,53.9994829
Sydney,Australia,02/04/2020 01:00,4,0,3,,2020-02-04 17:00:00,-33.8548157,151.2164539
Melbourne,Australia,02/04/2020 01:00,4,0,0,,2020-02-04 17:00:00,-37.8142176,144.9631608
California,US,02/04/2020 01:00,4,0,0,"Los Angeles, Orange, Santa Clara",2020-02-04 17:00:00,36.7014631,-118.7559974
Brisbane,Australia,02/04/2020 01:00,2,0,0,,2020-02-04 17:00:00,-27.4689682,153.0234991
Ontario,Canada,02/04/2020 01:00,3,0,0,,2020-02-04 17:00:00,50.000678,-86.000977
,India,02/04/2020 01:00,3,0,0,,2020-02-04 17:00:00,16.3876987,73.7305913
,Italy,02/04/2020 01:00,2,0,0,,2020-02-04 17:00:00,46.3144754,11.0480288
,Philippines,02/04/2020 01:00,2,1,0,,2020-02-04 17:00:00,12.7503486,122.7312101
,Russia,02/04/2020 01:00,2,0,0,,2020-02-04 17:00:00,48.2783785,46.1663642
,UK,02/04/2020 01:00,2,0,0,,2020-02-04 17:00:00,54.7023545,-3.2765753
Illinois,US,02/04/2020 01:00,2,0,0,Chicago,2020-02-04 17:00:00,40.0796606,-89.4337288
Adelaide,Australia,02/04/2020 01:00,2,0,0,,2020-02-04 17:00:00,-34.9281805,138.5999312
,Cambodia,02/04/2020 01:00,1,0,0,,2020-02-04 17:00:00,13.5066394,104.869423
British Columbia,Canada,02/04/2020 01:00,1,0,0,,2020-02-04 17:00:00,55.001251,-125.002441
,Finland,02/04/2020 01:00,1,0,0,,2020-02-04 17:00:00,63.2467777,25.9209164
Tibet,China,02/04/2020 01:00,1,0,0,,2020-02-04 17:00:00,31.8943432,87.0781371
,Nepal,02/04/2020 01:00,1,0,0,,2020-02-04 17:00:00,28.1083929,84.0917139
,Spain,02/04/2020 01:00,1,0,0,,2020-02-04 17:00:00,39.3262345,-4.8380649
,Sri Lanka,02/04/2020 01:00,1,0,1,,2020-02-04 17:00:00,7.1895221,79.9548574
,Sweden,02/04/2020 01:00,1,0,0,,2020-02-04 17:00:00,63.4352121,14.8290863
Massachusetts,US,02/04/2020 01:00,1,0,0,Boston,2020-02-04 17:00:00,42.3788774,-72.032366
Washington,US,02/04/2020 01:00,1,0,0,Seattle,2020-02-04 17:00:00,38.8948932,-77.0365529
Arizona,US,02/04/2020 01:00,1,0,0,Tempe,2020-02-04 17:00:00,34.395342,-111.7632755
