Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered,City
Hubei,Mainland China,2/07/2020 23:00,24953,699,1119,
Guangdong,Mainland China,2/07/2020 23:00,1075,1,98,
Zhejiang,Mainland China,2/07/2020 23:00,1048,0,127,
Henan,Mainland China,2/07/2020 23:00,981,4,99,
Hunan,Mainland China,2/07/2020 23:00,803,0,119,
Anhui,Mainland China,2/07/2020 23:00,733,0,47,
Jiangxi,Mainland China,2/07/2020 23:00,698,0,55,
Jiangsu,Mainland China,2/07/2020 23:00,439,0,43,
Chongqing,Mainland China,2/07/2020 23:00,426,2,31,
Shandong,Mainland China,2/07/2020 23:00,407,0,38,
Sichuan,Mainland China,2/07/2020 23:00,363,1,51,
Beijing,Mainland China,2/07/2020 23:00,315,2,34,
Heilongjiang,Mainland China,2/07/2020 23:00,295,5,13,
Shanghai,Mainland China,2/07/2020 23:00,281,1,30,
Fujian,Mainland China,2/07/2020 23:00,239,0,20,
Hebei,Mainland China,2/07/2020 23:00,195,1,25,
Shaanxi,Mainland China,2/07/2020 23:00,195,0,17,
Guangxi,Mainland China,2/07/2020 23:00,183,0,17,
Yunnan,Mainland China,2/07/2020 23:00,138,0,12,
Hainan,Mainland China,2/07/2020 23:00,124,2,11,
Shanxi,Mainland China,2/07/2020 23:00,104,0,15,
Liaoning,Mainland China,2/07/2020 23:00,99,0,7,
Tianjin,Mainland China,2/07/2020 23:00,88,1,2,
Guizhou,Mainland China,2/07/2020 23:00,89,1,6,
Gansu,Mainland China,2/07/2020 23:00,71,1,9,
Jilin,Mainland China,2/07/2020 23:00,69,1,4,
Yokohama,Japan,2/07/2020 23:00,64,0,0,
Inner Mongolia,Mainland China,2/07/2020 23:00,52,0,5,
Ningxia,Mainland China,2/07/2020 23:00,45,0,5,
Xinjiang,Mainland China,2/07/2020 23:00,42,0,0,
,Singapore,2/07/2020 23:00,33,0,2,
Hong Kong,Hong Kong,2/07/2020 23:00,26,1,0,
,Thailand,2/07/2020 23:00,25,0,9,
,Japan,2/07/2020 23:00,25,0,4,
,South Korea,2/07/2020 23:00,24,0,2,
Qinghai,Mainland China,2/07/2020 23:00,18,0,3,
Taiwan,Taiwan,2/07/2020 23:00,16,0,1,
,Malaysia,2/07/2020 23:00,15,0,1,
,Germany,2/07/2020 23:00,14,0,0,
,Vietnam,2/07/2020 23:00,12,0,3,
Macau,Macau,2/07/2020 23:00,10,0,1,
,United Arab Emirates,2/07/2020 23:00,7,0,0,
,France,2/07/2020 23:00,6,0,0,
California,US,2/07/2020 23:00,6,0,0,"San Benito, Los Angeles, Orange, Santa Clara"
Queensland,Australia,2/07/2020 23:00,5,0,0,
New South Wales,Australia,2/07/2020 23:00,4,0,3,
Victoria,Australia,2/07/2020 23:00,4,0,0,
British Columbia,Canada,2/07/2020 23:00,4,0,0,
Ontario,Canada,2/07/2020 23:00,3,0,0,
,India,2/07/2020 23:00,3,0,0,
,Philippines,2/07/2020 23:00,3,1,0,
,UK,2/07/2020 23:00,3,0,0,
,Italy,2/07/2020 23:00,3,0,0,
,Russia,2/07/2020 23:00,2,0,0,
Illinois,US,2/07/2020 23:00,2,0,2,Chicago
South Australia,Australia,2/07/2020 23:00,2,0,0,
,Cambodia,2/07/2020 23:00,1,0,1,
,Finland,2/07/2020 23:00,1,0,1,
,Sri Lanka,2/07/2020 23:00,1,0,1,
Tibet,Mainland China,2/07/2020 23:00,1,0,0,
,Nepal,2/07/2020 23:00,1,0,0,
,Spain,2/07/2020 23:00,1,0,0,
,Sweden,2/07/2020 23:00,1,0,0,
Massachusetts,US,2/07/2020 23:00,1,0,0,Boston
WA,US,2/07/2020 23:00,1,0,0,Seattle
Arizona,US,2/07/2020 23:00,1,0,0,Tempe
Brussels,Belgium,2/07/2020 23:00,1,0,0,
WI,US,2/07/2020 23:00,1,0,0,Madison
