Province/State,Country/Region,Confirmed,Recovered,Tests,Critical,Remaining,Deaths,Date_last_updated_AEDT,Population,Continent,World,lat,lon
Acre,Brazil,5251,,,,,113,2020-05-28,881935,South America,Worldwide,-9.0478679,-70.52649759999998
Amapá,Brazil,7619,,,,,183,2020-05-28,845731,South America,Worldwide,1.3545441999999999,-51.9161977
Amazonas,Brazil,33508,,,,,1891,2020-05-28,4144597,South America,Worldwide,-4.479925,-63.518539600000004
Pará,Brazil,31671,,,,,2605,2020-05-28,8602865,South America,Worldwide,-4.7493932999999995,-52.89730060000001
Rondônia,Brazil,3862,,,,,137,2020-05-28,1777225,South America,Worldwide,-10.943145,-62.8277863
Roraima,Brazil,2682,,,,,102,2020-05-28,605761,South America,Worldwide,2.135138,-61.3631922
Tocantins,Brazil,3023,,,,,65,2020-05-28,1572866,South America,Worldwide,-10.8855129,-48.3716912
Alagoas,Brazil,7580,,,,,368,2020-05-28,3337357,South America,Worldwide,-9.661166099999999,-36.650242600000006
Bahia,Brazil,15070,,,,,531,2020-05-28,14873064,South America,Worldwide,-12.285250999999999,-41.9294776
Ceará,Brazil,37275,,,,,2671,2020-05-28,9132078,South America,Worldwide,-5.3264703,-39.715607299999995
Maranhão,Brazil,27979,,,,,887,2020-05-28,7075181,South America,Worldwide,-5.2085503,-45.3930262
Paraíba,Brazil,10209,,,,,298,2020-05-28,4018127,South America,Worldwide,-7.1219366,-36.724684499999995
Pernambuco,Brazil,29919,,,,,2468,2020-05-28,9557071,South America,Worldwide,-8.4116316,-37.591969899999995
Piauí,Brazil,4243,,,,,138,2020-05-28,3273227,South America,Worldwide,-7.699278200000001,-42.504378700000004
Rio Grande do Norte,Brazil,5630,,,,,242,2020-05-28,3506853,South America,Worldwide,-5.6781175,-36.4781776
Sergipe,Brazil,5912,,,,,127,2020-05-28,2298696,South America,Worldwide,-10.6743911,-37.377351899999994
Federal District,Brazil,7761,,,,,133,2020-05-28,3015268,South America,Worldwide,-15.7754462,-47.7970891
Goiás,Brazil,2943,,,,,110,2020-05-28,7018354,South America,Worldwide,-15.932366199999999,-50.13929279999999
Mato Grosso,Brazil,1909,,,,,47,2020-05-28,3484466,South America,Worldwide,-12.2115009,-55.5716547
Mato Grosso do Sul,Brazil,1186,,,,,18,2020-05-28,2778986,South America,Worldwide,-19.5852564,-54.4794731
Espírito Santo,Brazil,11484,,,,,511,2020-05-28,4018650,South America,Worldwide,-19.5687682,-40.1721991
Minas Gerais,Brazil,8011,,,,,240,2020-05-28,21168791,South America,Worldwide,-18.526484399999998,-44.158865399999996
Rio de Janeiro,Brazil,42398,,,,,4605,2020-05-28,17264943,South America,Worldwide,-22.911013699999998,-43.2093727
São Paulo,Brazil,89483,,,,,6712,2020-05-28,45919049,South America,Worldwide,-23.5506507,-46.633382399999995
Paraná,Brazil,3768,,,,,167,2020-05-28,11433957,South America,Worldwide,-24.4842187,-51.8148872
Rio Grande do Sul,Brazil,7048,,,,,209,2020-05-28,11286500,South America,Worldwide,-29.8425284,-53.76805770000001
Santa Catarina,Brazil,7372,,,,,126,2020-05-28,6727000,South America,Worldwide,-27.0628367,-51.114965000000005
