Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered,Tests,Critical,Date_last_updated_AEDT,Remaining,Population,Continent,World,lat,lon
Beijing,China,07/04/2020 07:00,926,9,594,0,0,2020-07-04 22:00:00,323,21540000.0,Asia,Worldwide,39.906217,116.3912757
Shanghai,China,07/04/2020 07:00,715,7,681,0,0,2020-07-04 22:00:00,27,24280000.0,Asia,Worldwide,31.225298499999997,121.4890497
Gansu,China,07/04/2020 07:00,164,2,154,0,0,2020-07-04 22:00:00,8,25580000.0,Asia,Worldwide,38.0000001,101.9999999
Hebei,China,07/04/2020 07:00,349,6,336,0,0,2020-07-04 22:00:00,7,74700000.0,Asia,Worldwide,39.0000001,116.0
Sichuan,China,07/04/2020 07:00,595,3,581,0,0,2020-07-04 22:00:00,11,81100000.0,Asia,Worldwide,30.500000099999998,102.4999999
Shaanxi,China,07/04/2020 07:00,320,3,310,0,0,2020-07-04 22:00:00,7,37330000.0,Asia,Worldwide,36.0,109.0
Guangdong,China,07/04/2020 07:00,1643,8,1629,0,0,2020-07-04 22:00:00,6,113460000.0,Asia,Worldwide,23.135769399999997,113.19826880000001
Fujian,China,07/04/2020 07:00,363,1,360,0,0,2020-07-04 22:00:00,2,38560000.0,Asia,Worldwide,26.5450001,117.84277800000001
Liaoning,China,07/04/2020 07:00,156,2,149,0,0,2020-07-04 22:00:00,5,43900000.0,Asia,Worldwide,40.9739116,122.3263915
Chongqing,China,07/04/2020 07:00,582,6,574,0,0,2020-07-04 22:00:00,2,30480000.0,Asia,Worldwide,29.5585712,106.5492822
Tianjin,China,07/04/2020 07:00,199,3,194,0,0,2020-07-04 22:00:00,2,15621200.0,Asia,Worldwide,39.1235635,117.1980785
Zhejiang,China,07/04/2020 07:00,1269,1,1267,0,0,2020-07-04 22:00:00,1,57370000.0,Asia,Worldwide,29.000000099999998,119.9999999
Yunnan,China,07/04/2020 07:00,186,2,183,0,0,2020-07-04 22:00:00,1,45970000.0,Asia,Worldwide,25.0,102.0
Jiangsu,China,07/04/2020 07:00,654,0,653,0,0,2020-07-04 22:00:00,1,80400000.0,Asia,Worldwide,33.0000001,119.9999999
Hubei,China,07/04/2020 07:00,68135,4512,63623,0,0,2020-07-04 22:00:00,0,58500000.0,Asia,Worldwide,31.151725199999998,112.87832220000001
Henan,China,07/04/2020 07:00,1276,22,1254,0,0,2020-07-04 22:00:00,0,95590000.0,Asia,Worldwide,34.0000001,113.9999999
Hunan,China,07/04/2020 07:00,1019,4,1015,0,0,2020-07-04 22:00:00,0,67370000.0,Asia,Worldwide,27.6662087,111.74870630000001
Anhui,China,07/04/2020 07:00,991,6,985,0,0,2020-07-04 22:00:00,0,62000000.0,Asia,Worldwide,32.0,117.0
Heilongjiang,China,07/04/2020 07:00,945,13,932,0,0,2020-07-04 22:00:00,0,38310000.0,Asia,Worldwide,48.000004700000005,127.99999199999999
Jiangxi,China,07/04/2020 07:00,937,1,936,0,0,2020-07-04 22:00:00,0,45200000.0,Asia,Worldwide,28.0,116.0
Shandong,China,07/04/2020 07:00,792,7,785,0,0,2020-07-04 22:00:00,0,100472400.0,Asia,Worldwide,36.0000001,118.9999999
Guangxi,China,07/04/2020 07:00,254,2,252,0,0,2020-07-04 22:00:00,0,48380000.0,Asia,Worldwide,24.0,109.0
Inner Mongolia,China,07/04/2020 07:00,238,1,237,0,0,2020-07-04 22:00:00,0,24710000.0,Asia,Worldwide,43.2443242,114.32516640000001
Shanxi,China,07/04/2020 07:00,198,0,198,0,0,2020-07-04 22:00:00,0,36500000.0,Asia,Worldwide,37.0,112.0
Hainan,China,07/04/2020 07:00,171,6,163,0,0,2020-07-04 22:00:00,2,9258000.0,Asia,Worldwide,19.2000001,109.5999999
Jilin,China,07/04/2020 07:00,155,2,153,0,0,2020-07-04 22:00:00,0,27460000.0,Asia,Worldwide,42.9995032,125.9816054
Guizhou,China,07/04/2020 07:00,147,2,145,0,0,2020-07-04 22:00:00,0,34750000.0,Asia,Worldwide,27.0,107.0
Xinjiang,China,07/04/2020 07:00,76,3,73,0,0,2020-07-04 22:00:00,0,21810000.0,Asia,Worldwide,41.7574769,87.1673842
Ningxia,China,07/04/2020 07:00,75,0,75,0,0,2020-07-04 22:00:00,0,6301000.0,Asia,Worldwide,37.3095528,105.9608553
Qinghai,China,07/04/2020 07:00,18,0,18,0,0,2020-07-04 22:00:00,0,5627000.0,Asia,Worldwide,35.40709520000001,95.95211570000001
Tibet,China,07/04/2020 07:00,1,0,1,0,0,2020-07-04 22:00:00,0,3180000.0,Asia,Worldwide,31.894343199999998,87.07813709999999
New South Wales,Australia,07/04/2020 07:00,3216,48,2788,924318,0,2020-07-04 22:00:00,380,7544000.0,Oceania,Worldwide,-33.8548157,151.2164539
Queensland,Australia,07/04/2020 07:00,1067,6,1055,386727,0,2020-07-04 22:00:00,6,5071000.0,Oceania,Worldwide,-27.468968199999996,153.02349909999998
Victoria,Australia,07/04/2020 07:00,2469,20,1938,906574,0,2020-07-04 22:00:00,511,6359000.0,Oceania,Worldwide,-37.814217600000006,144.9631608
South Australia,Australia,07/04/2020 07:00,443,4,436,160000,0,2020-07-04 22:00:00,3,1677000.0,Oceania,Worldwide,-34.928180499999996,138.5999312
Western Australia,Australia,07/04/2020 07:00,612,9,600,191213,0,2020-07-04 22:00:00,3,2589000.0,Oceania,Worldwide,-31.952712100000003,115.86047959999999
Tasmania,Australia,07/04/2020 07:00,228,13,213,52665,0,2020-07-04 22:00:00,2,515000.0,Oceania,Worldwide,-42.8825088,147.3281233
Australian Capital Territory,Australia,07/04/2020 07:00,108,3,105,32016,0,2020-07-04 22:00:00,0,412576.0,Oceania,Worldwide,-35.488350200000006,149.00269419999998
Northern Territory,Australia,07/04/2020 07:00,30,0,29,14523,0,2020-07-04 22:00:00,1,211945.0,Oceania,Worldwide,-12.46044,130.8410469
New York,US,07/04/2020 07:00,401107,32137,55959,0,0,2020-07-04 22:00:00,313011,19542200.0,North America,Worldwide,40.7127281,-74.0060152
California,US,07/04/2020 07:00,251178,6319,65141,0,0,2020-07-04 22:00:00,179718,39560000.0,North America,Worldwide,36.7014631,-118.75599740000001
Texas,US,07/04/2020 07:00,185591,2592,93596,0,0,2020-07-04 22:00:00,89403,28700000.0,North America,Worldwide,31.8160381,-99.51209859999999
New Jersey,US,07/04/2020 07:00,172742,15248,3930,0,0,2020-07-04 22:00:00,153564,8909000.0,North America,Worldwide,40.0757384,-74.4041622
Florida,US,07/04/2020 07:00,178594,3685,381,0,0,2020-07-04 22:00:00,174528,21300000.0,North America,Worldwide,27.7567667,-81.4639835
Illinois,US,07/04/2020 07:00,145757,7005,74865,0,0,2020-07-04 22:00:00,63887,12740000.0,North America,Worldwide,40.079660600000004,-89.4337288
Massachusetts,US,07/04/2020 07:00,109628,8149,93157,0,0,2020-07-04 22:00:00,8322,6902000.0,North America,Worldwide,42.3788774,-72.03236600000001
Pennsylvania,US,07/04/2020 07:00,93392,6746,1369,0,0,2020-07-04 22:00:00,85277,12810000.0,North America,Worldwide,40.9699889,-77.72788309999999
Georgia,US,07/04/2020 07:00,90493,2857,340,0,0,2020-07-04 22:00:00,87296,10520000.0,North America,Worldwide,32.329380900000004,-83.1137366
Arizona,US,07/04/2020 07:00,91872,1798,174,0,0,2020-07-04 22:00:00,89900,7172000.0,North America,Worldwide,34.395342,-111.76327549999999
Michigan,US,07/04/2020 07:00,72176,6215,51099,0,0,2020-07-04 22:00:00,14862,9996000.0,North America,Worldwide,43.6211955,-84.6824346
Maryland,US,07/04/2020 07:00,68961,3223,5023,0,0,2020-07-04 22:00:00,60715,6043000.0,North America,Worldwide,39.5162234,-76.9382069
North Carolina,US,07/04/2020 07:00,70244,1401,45538,0,0,2020-07-04 22:00:00,23305,10380000.0,North America,Worldwide,35.6729639,-79.03929190000001
Virginia,US,07/04/2020 07:00,64397,1846,8711,0,0,2020-07-04 22:00:00,53840,8518000.0,North America,Worldwide,37.1232245,-78.4927721
Louisiana,US,07/04/2020 07:00,63289,3278,43026,0,0,2020-07-04 22:00:00,16985,4660000.0,North America,Worldwide,30.8703881,-92.007126
Ohio,US,07/04/2020 07:00,55257,2903,7138,0,0,2020-07-04 22:00:00,45216,11690000.0,North America,Worldwide,40.225356899999994,-82.6881395
Connecticut,US,07/04/2020 07:00,46720,4335,63,0,0,2020-07-04 22:00:00,42322,3573000.0,North America,Worldwide,41.6500201,-72.7342163
Indiana,US,07/04/2020 07:00,46915,2682,2598,0,0,2020-07-04 22:00:00,41635,6692000.0,North America,Worldwide,40.327012700000004,-86.1746933
Tennessee,US,07/04/2020 07:00,48713,634,29591,0,0,2020-07-04 22:00:00,18488,6770000.0,North America,Worldwide,35.7730076,-86.28200809999998
Alabama,US,07/04/2020 07:00,41865,1006,22082,0,0,2020-07-04 22:00:00,18777,4888000.0,North America,Worldwide,33.258881699999996,-86.8295337
Minnesota,US,07/04/2020 07:00,37624,1503,32347,0,0,2020-07-04 22:00:00,3774,5611000.0,North America,Worldwide,45.98965870000001,-94.6113288
South Carolina,US,07/04/2020 07:00,41413,787,5076,0,0,2020-07-04 22:00:00,35550,5084000.0,North America,Worldwide,33.687438799999995,-80.4363743
Colorado,US,07/04/2020 07:00,33618,1702,2921,0,0,2020-07-04 22:00:00,28995,5696000.0,North America,Worldwide,38.7251776,-105.60771670000001
WA,US,07/04/2020 07:00,34783,1341,5355,0,0,2020-07-04 22:00:00,28087,7536000.0,North America,Worldwide,47.2868352,-120.2126139
Iowa,US,07/04/2020 07:00,30463,721,24389,0,0,2020-07-04 22:00:00,5353,3156000.0,North America,Worldwide,41.9216734,-93.3122705
Wisconsin,US,07/04/2020 07:00,30317,796,24043,0,0,2020-07-04 22:00:00,5478,5814000.0,North America,Worldwide,44.4308975,-89.6884637
Mississippi,US,07/04/2020 07:00,29684,1103,19388,0,0,2020-07-04 22:00:00,9193,2987000.0,North America,Worldwide,32.9715645,-89.7348497
Veteran Affair,US,07/04/2020 07:00,24138,1668,13019,0,0,2020-07-04 22:00:00,9451,18000000.0,North America,Worldwide,34.279195,-119.28909499999999
Nebraska,US,07/04/2020 07:00,19660,284,12698,0,0,2020-07-04 22:00:00,6678,1929000.0,North America,Worldwide,41.7370229,-99.5873816
Missouri,US,07/04/2020 07:00,23723,1071,4102,0,0,2020-07-04 22:00:00,18550,6126000.0,North America,Worldwide,38.7604815,-92.5617875
Rhode Island,US,07/04/2020 07:00,16991,960,1657,0,0,2020-07-04 22:00:00,14374,1057000.0,North America,Worldwide,41.7962409,-71.59923719999999
