Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered
Hubei,Mainland China,3/02/2020  05:00,67103,2803,33762
Guangdong,Mainland China,3/02/2020  05:00,1350,7,1051
Zhejiang,Mainland China,3/02/2020  05:00,1206,1,1068
Shandong,Mainland China,3/02/2020  05:00,758,6,460
Henan,Mainland China,3/02/2020  05:00,1272,22,1206
Anhui,Mainland China,3/02/2020  05:00,990,6,889
Jiangxi,Mainland China,3/02/2020  05:00,935,1,850
Hunan,Mainland China,3/02/2020  05:00,1018,4,881
Heilongjiang,Mainland China,3/02/2020  05:00,480,13,353
Sichuan,Mainland China,3/02/2020  05:00,538,3,380
Chongqing,Mainland China,3/02/2020  05:00,576,6,450
Jiangsu,Mainland China,3/02/2020  05:00,631,0,538
Beijing,Mainland China,3/02/2020  05:00,414,8,282
Guangxi,Mainland China,3/02/2020  05:00,252,2,191
Fujian,Mainland China,3/02/2020  05:00,296,1,247
Shanghai,Mainland China,3/02/2020  05:00,337,3,292
Hebei,Mainland China,3/02/2020  05:00,318,6,296
Shaanxi,Mainland China,3/02/2020  05:00,245,1,216
Yunnan,Mainland China,3/02/2020  05:00,174,2,168
Tianjin,Mainland China,3/02/2020  05:00,136,3,111
Hainan,Mainland China,3/02/2020  05:00,168,5,151
Guizhou,Mainland China,3/02/2020  05:00,146,2,114
Liaoning,Mainland China,3/02/2020  05:00,122,1,103
Shanxi,Mainland China,3/02/2020  05:00,133,0,116
Inner Mongolia,Mainland China,3/02/2020  05:00,75,0,52
Xinjiang,Mainland China,3/02/2020  05:00,76,3,64
Jilin,Mainland China,3/02/2020  05:00,93,1,79
Ningxia,Mainland China,3/02/2020  05:00,74,0,69
Gansu,Mainland China,3/02/2020  05:00,91,2,84
Qinghai,Mainland China,3/02/2020  05:00,18,0,18
Tibet,Mainland China,3/02/2020  05:00,1,0,1
,South Korea,3/02/2020  05:00,4335,26,30
,Italy,3/02/2020  05:00,1701,41,83
,Iran,3/02/2020  05:00,978,55,175
Yokohama,Japan,3/02/2020  05:00,696,6,10
,Japan,3/02/2020  05:00,256,6,42
,Germany,3/02/2020  05:00,150,0,16
,France,3/02/2020  05:00,130,2,12
,Singapore,3/02/2020  05:00,106,0,74
Hong Kong,Hong Kong,3/02/2020  05:00,98,2,36
,Spain,3/02/2020  05:00,86,0,2
,Kuwait,3/02/2020  05:00,56,0,0
,Bahrain,3/02/2020  05:00,47,0,0
,Thailand,3/02/2020  05:00,43,1,30
Taiwan,Taiwan,3/02/2020  05:00,41,1,12
,UK,3/02/2020  05:00,36,0,8
,Malaysia,3/02/2020  05:00,29,0,22
,Switzerland,3/02/2020  05:00,24,0,1
,United Arab Emirates,3/02/2020  05:00,21,0,5
,Iraq,3/02/2020  05:00,19,0,0
,Norway,3/02/2020  05:00,19,0,0
,Vietnam,3/02/2020  05:00,16,0,16
,Austria,3/02/2020  05:00,14,0,0
,Sweden,3/02/2020  05:00,14,0,0
Macau,Macau,3/02/2020  05:00,10,0,8
,Israel,3/02/2020  05:00,10,0,1
,Lebanon,3/02/2020  05:00,10,0,0
,Netherlands,3/02/2020  05:00,10,0,0
,San Marino,3/02/2020  05:00,8,0,0
,Croatia,3/02/2020  05:00,8,0,0
,Greece,3/02/2020  05:00,7,0,0
,Ecuador,3/02/2020  05:00,6,0,0
,Finland,3/02/2020  05:00,6,0,1
,Oman,3/02/2020  05:00,6,0,1
,India,3/02/2020  05:00,5,0,3
,Mexico,3/02/2020  05:00,5,0,0
,Denmark,3/02/2020  05:00,4,0,0
,Pakistan,3/02/2020  05:00,4,0,0
,Philippines,3/02/2020  05:00,3,1,2
,Algeria,3/02/2020  05:00,3,0,0
,Azerbaijan,3/02/2020  05:00,3,0,0
,Czechia,3/02/2020  05:00,3,0,0
,Georgia,3/02/2020  05:00,3,0,0
,Iceland,3/02/2020  05:00,3,0,0
,Qatar,3/02/2020  05:00,3,0,0
,Romania,3/02/2020  05:00,3,0,1
Brussels,Belgium,3/02/2020  05:00,2,0,1
,Brazil,3/02/2020  05:00,2,0,0
,Egypt,3/02/2020  05:00,2,0,1
,Indonesia,3/02/2020  05:00,2,0,0
,Russia,3/02/2020  05:00,2,0,2
,Afghanistan,3/02/2020  05:00,1,0,0
,Andorra,3/02/2020  05:00,1,0,0
,Armenia,3/02/2020  05:00,1,0,0
,Belarus,3/02/2020  05:00,1,0,0
,Cambodia,3/02/2020  05:00,1,0,1
,Dominican Republic,3/02/2020  05:00,1,0,0
,Estonia,3/02/2020  05:00,1,0,0
,Ireland,3/02/2020  05:00,1,0,0
,Lithuania,3/02/2020  05:00,1,0,0
,Luxembourg,3/02/2020  05:00,1,0,0
,North Macedonia,3/02/2020  05:00,1,0,0
,Monaco,3/02/2020  05:00,1,0,0
,Nepal,3/02/2020  05:00,1,0,1
,New Zealand,3/02/2020  05:00,1,0,0
,Nigeria,3/02/2020  05:00,1,0,0
,Sri Lanka,3/02/2020  05:00,1,0,1
British Columbia,Canada,3/02/2020  05:00,8,0,3
Ontario,Canada,3/02/2020  05:00,15,0,3
Quebec,Canada,3/02/2020  05:00,1,0,0
WA,US,3/02/2020  05:00,15,2,1
Oregon,US,3/02/2020  05:00,1,0,0
California,US,3/02/2020  05:00,15,0,2
Arizona,US,3/02/2020  05:00,1,0,1
Texas,US,3/02/2020  05:00,1,0,0
Rhode Island,US,3/02/2020  05:00,1,0,0
New York,US,3/02/2020  05:00,1,0,0
Massachusetts,US,3/02/2020  05:00,1,0,1
Illinois,US,3/02/2020  05:00,3,0,2
Wisconsin,US,3/02/2020  05:00,1,0,0
Nebraska,US,3/02/2020  05:00,44,0,0
Florida,US,3/02/2020  05:00,2,0,0
Queensland,Australia,3/02/2020  05:00,9,0,5
New South Wales,Australia,3/02/2020  05:00,9,0,4
Victoria,Australia,3/02/2020  05:00,9,0,4
South Australia,Australia,3/02/2020  05:00,3,0,2
Western Australia,Australia,3/02/2020  05:00,2,1,0
Tasmania,Australia,3/02/2020  05:00,1,0,0
