Province/State,Country/Region,Confirmed,Recovered,Tests,Critical,Remaining,Deaths,Date_last_updated_AEDT,Population,Continent,World,lat,lon
Acre,Brazil,8457,,,,,223,2020-06-10,881935,South America,Worldwide,-9.0478679,-70.52649759999998
Amapá,Brazil,13771,,,,,285,2020-06-10,845731,South America,Worldwide,1.3545441999999999,-51.9161977
Amazonas,Brazil,51234,,,,,2315,2020-06-10,4144597,South America,Worldwide,-4.479925,-63.518539600000004
Pará,Brazil,60636,,,,,3898,2020-06-10,8602865,South America,Worldwide,-4.7493932999999995,-52.89730060000001
Rondônia,Brazil,9220,,,,,255,2020-06-10,1777225,South America,Worldwide,-10.943145,-62.8277863
Roraima,Brazil,6347,,,,,182,2020-06-10,605761,South America,Worldwide,2.135138,-61.3631922
Tocantins,Brazil,6052,,,,,114,2020-06-10,1572866,South America,Worldwide,-10.8855129,-48.3716912
Alagoas,Brazil,17193,,,,,640,2020-06-10,3337357,South America,Worldwide,-9.661166099999999,-36.650242600000006
Bahia,Brazil,30481,,,,,937,2020-06-10,14873064,South America,Worldwide,-12.285250999999999,-41.9294776
Ceará,Brazil,69023,,,,,4359,2020-06-10,9132078,South America,Worldwide,-5.3264703,-39.715607299999995
Maranhão,Brazil,52069,,,,,1285,2020-06-10,7075181,South America,Worldwide,-5.2085503,-45.3930262
Paraíba,Brazil,22452,,,,,534,2020-06-10,4018127,South America,Worldwide,-7.1219366,-36.724684499999995
Pernambuco,Brazil,41010,,,,,3453,2020-06-10,9557071,South America,Worldwide,-8.4116316,-37.591969899999995
Piauí,Brazil,8359,,,,,283,2020-06-10,3273227,South America,Worldwide,-7.699278200000001,-42.504378700000004
Rio Grande do Norte,Brazil,11027,,,,,459,2020-06-10,3506853,South America,Worldwide,-5.6781175,-36.4781776
Sergipe,Brazil,10126,,,,,252,2020-06-10,2298696,South America,Worldwide,-10.6743911,-37.377351899999994
Federal District,Brazil,18090,,,,,236,2020-06-10,3015268,South America,Worldwide,-15.7754462,-47.7970891
Goiás,Brazil,7049,,,,,184,2020-06-10,7018354,South America,Worldwide,-15.932366199999999,-50.13929279999999
Mato Grosso,Brazil,4504,,,,,140,2020-06-10,3484466,South America,Worldwide,-12.2115009,-55.5716547
Mato Grosso do Sul,Brazil,2455,,,,,22,2020-06-10,2778986,South America,Worldwide,-19.5852564,-54.4794731
Espírito Santo,Brazil,21964,,,,,904,2020-06-10,4018650,South America,Worldwide,-19.5687682,-40.1721991
Minas Gerais,Brazil,16102,,,,,399,2020-06-10,21168791,South America,Worldwide,-18.526484399999998,-44.158865399999996
Rio de Janeiro,Brazil,72979,,,,,6928,2020-06-10,17264943,South America,Worldwide,-22.911013699999998,-43.2093727
São Paulo,Brazil,150138,,,,,9522,2020-06-10,45919049,South America,Worldwide,-23.5506507,-46.633382399999995
Paraná,Brazil,7410,,,,,260,2020-06-10,11433957,South America,Worldwide,-24.4842187,-51.8148872
Rio Grande do Sul,Brazil,12802,,,,,302,2020-06-10,11286500,South America,Worldwide,-29.8425284,-53.76805770000001
Santa Catarina,Brazil,12192,,,,,179,2020-06-10,6727000,South America,Worldwide,-27.0628367,-51.114965000000005
