Province/State,Country/Region,Confirmed,Recovered,Tests,Critical,Remaining,Deaths,Date_last_updated_AEDT,Population,Continent,World,lat,lon
Baden-Württemberg,Germany,34500,,,,,1724,2020-05-27,11072030,Europe,Worldwide,48.6296972,9.1949534
Bavaria,Germany,46458,,,,,2404,2020-05-27,13068686,Europe,Worldwide,48.9467562,11.4038717
Berlin,Germany,6673,,,,,193,2020-05-27,3740845,Europe,Worldwide,52.517036499999996,13.388859900000002
Brandenburg,Germany,3246,,,,,154,2020-05-27,2514736,Europe,Worldwide,52.84554920000001,13.2461296
Bremen,Germany,1322,,,,,42,2020-05-27,685714,Europe,Worldwide,53.14486899999999,8.6932343
Hamburg,Germany,5072,,,,,242,2020-05-27,1843859,Europe,Worldwide,53.550341,10.000653999999999
Hesse,Germany,9860,,,,,466,2020-05-27,6254237,Europe,Worldwide,50.611853700000005,9.1909725
Lower Saxony,Germany,11678,,,,,578,2020-05-27,7962068,Europe,Worldwide,52.8398531,9.075961999999999
Mecklenburg-Vorpommern,Germany,760,,,,,20,2020-05-27,1635000,Europe,Worldwide,53.773523399999995,12.5755746
North Rhine-Westphalia,Germany,37541,,,,,1577,2020-05-27,17967261,Europe,Worldwide,51.478179600000004,7.5542336
Rhineland-Palatinate,Germany,6611,,,,,229,2020-05-27,4082481,Europe,Worldwide,49.953159899999996,7.310646
Saarland,Germany,2730,,,,,160,2020-05-27,990376,Europe,Worldwide,49.417398799999994,6.9805789
Saxony,Germany,5247,,,,,208,2020-05-27,4069523,Europe,Worldwide,50.92957979999999,13.4585052
Saxony-Anhalt,Germany,1698,,,,,55,2020-05-27,2214285,Europe,Worldwide,51.908526,11.4939134
Schleswig-Holstein,Germany,3070,,,,,140,2020-05-27,2902325,Europe,Worldwide,54.1853998,9.8220089
Thuringia,Germany,2898,,,,,157,2020-05-27,2151724,Europe,Worldwide,50.73331629999999,11.0747905
