Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered,Date_last_updated,lat,lon
Hubei,China,01/31/2020 19:00,7153,249,169,2020-01-31 19:00:00,31.1517252,112.8783222
Zhejiang,China,01/31/2020 19:00,537,0,14,2020-01-31 19:00:00,29.0000001,119.9999999
Guangdong,China,01/31/2020 19:00,436,0,10,2020-01-31 19:00:00,23.1357694,113.1982688
Henan,China,01/31/2020 19:00,352,2,3,2020-01-31 19:00:00,34.0000001,113.9999999
Hunan,China,01/31/2020 19:00,332,0,3,2020-01-31 19:00:00,27.6662087,111.7487063
Jiangxi,China,01/31/2020 19:00,240,0,7,2020-01-31 19:00:00,28.0,116.0
Chongqing,China,01/31/2020 19:00,238,1,1,2020-01-31 19:00:00,29.5585712,106.5492822
Anhui,China,01/31/2020 19:00,237,0,3,2020-01-31 19:00:00,32.0,117.0
Shandong,China,01/31/2020 19:00,184,0,2,2020-01-31 19:00:00,36.0000001,118.9999999
Sichuan,China,01/31/2020 19:00,177,1,1,2020-01-31 19:00:00,30.5000001,102.4999999
Jiangsu,China,01/31/2020 19:00,168,0,5,2020-01-31 19:00:00,33.0000001,119.9999999
Shanghai,China,01/31/2020 19:00,153,1,9,2020-01-31 19:00:00,31.2252985,121.4890497
Beijing,China,01/31/2020 19:00,139,1,5,2020-01-31 19:00:00,39.906217,116.3912757
Fujian,China,01/31/2020 19:00,120,0,0,2020-01-31 19:00:00,26.5450001,117.842778
Hebei,China,01/31/2020 19:00,96,1,0,2020-01-31 19:00:00,39.0000001,116.0
Guangxi,China,01/31/2020 19:00,88,0,2,2020-01-31 19:00:00,24.0,109.0
Shaanxi,China,01/31/2020 19:00,87,0,0,2020-01-31 19:00:00,36.0,109.0
Yunnan,China,01/31/2020 19:00,83,0,1,2020-01-31 19:00:00,25.0,102.0
Liaoning,China,01/31/2020 19:00,60,0,1,2020-01-31 19:00:00,40.9739116,122.3263915
Heilongjiang,China,01/31/2020 19:00,59,2,0,2020-01-31 19:00:00,48.0000047,127.999992
Hainan,China,01/31/2020 19:00,58,1,1,2020-01-31 19:00:00,19.2000001,109.5999999
Shanxi,China,01/31/2020 19:00,47,0,1,2020-01-31 19:00:00,37.0,112.0
Gansu,China,01/31/2020 19:00,35,0,0,2020-01-31 19:00:00,38.0000001,101.9999999
Tianjin,China,01/31/2020 19:00,32,0,0,2020-01-31 19:00:00,39.1235635,117.1980785
Guizhou,China,01/31/2020 19:00,29,0,2,2020-01-31 19:00:00,27.0,107.0
Ningxia,China,01/31/2020 19:00,21,0,1,2020-01-31 19:00:00,37.3095528,105.9608553
Inner Mongolia,China,01/31/2020 19:00,20,0,0,2020-01-31 19:00:00,43.2443242,114.3251664
Xinjiang,China,01/31/2020 19:00,17,0,0,2020-01-31 19:00:00,41.7574769,87.1673842
Jilin,China,01/31/2020 19:00,14,0,1,2020-01-31 19:00:00,42.9995032,125.9816054
Hong Kong,Hong Kong,01/31/2020 19:00,13,0,0,2020-01-31 19:00:00,22.2793278,114.1628131
Taiwan,Taiwan,01/31/2020 19:00,10,0,0,2020-01-31 19:00:00,23.9739374,120.9820179
Qinghai,China,01/31/2020 19:00,8,0,0,2020-01-31 19:00:00,35.4070952,95.9521157
Macau,Macau,01/31/2020 19:00,7,0,0,2020-01-31 19:00:00,22.1757605,113.5514142
Tibet,China,01/31/2020 19:00,1,0,0,2020-01-31 19:00:00,31.8943432,87.0781371
Washington,US,01/31/2020 19:00,1,0,0,2020-01-31 19:00:00,38.8948932,-77.0365529
Illinois,US,01/31/2020 19:00,2,0,0,2020-01-31 19:00:00,40.0796606,-89.4337288
California,US,01/31/2020 19:00,3,0,0,2020-01-31 19:00:00,36.7014631,-118.7559974
Arizona,US,01/31/2020 19:00,1,0,0,2020-01-31 19:00:00,34.395342,-111.7632755
,Japan,01/31/2020 19:00,17,0,1,2020-01-31 19:00:00,34.9046568,136.6310496
,Thailand,01/31/2020 19:00,19,0,7,2020-01-31 19:00:00,18.7544594,100.624804
,South Korea,01/31/2020 19:00,11,0,0,2020-01-31 19:00:00,36.5581914,127.9408564
,Singapore,01/31/2020 19:00,16,0,0,2020-01-31 19:00:00,1.340863,103.8303918
,Vietnam,01/31/2020 19:00,2,0,0,2020-01-31 19:00:00,13.2904027,108.4265113
,France,01/31/2020 19:00,6,0,0,2020-01-31 19:00:00,45.1562575,5.4515829
,Nepal,01/31/2020 19:00,1,0,0,2020-01-31 19:00:00,28.1083929,84.0917139
,Malaysia,01/31/2020 19:00,8,0,0,2020-01-31 19:00:00,4.5693754,102.2656823
Ontario,Canada,01/31/2020 19:00,2,0,0,2020-01-31 19:00:00,50.000678,-86.000977
British Columbia,Canada,01/31/2020 19:00,1,0,0,2020-01-31 19:00:00,55.001251,-125.002441
,Cambodia,01/31/2020 19:00,1,0,0,2020-01-31 19:00:00,13.5066394,104.869423
,Sri Lanka,01/31/2020 19:00,1,0,0,2020-01-31 19:00:00,7.1895221,79.9548574
Sydney,Australia,01/31/2020 19:00,4,0,2,2020-01-31 19:00:00,-33.8548157,151.2164539
Melbourne,Australia,01/31/2020 19:00,2,0,0,2020-01-31 19:00:00,-37.8142176,144.9631608
Brisbane,Australia,01/31/2020 19:00,3,0,0,2020-01-31 19:00:00,-27.4689682,153.0234991
Bavaria,Germany,01/31/2020 19:00,7,0,0,2020-01-31 19:00:00,48.9467562,11.4038717
,Finland,01/31/2020 19:00,1,0,0,2020-01-31 19:00:00,63.2467777,25.9209164
,United Arab Emirates,01/31/2020 19:00,4,0,0,2020-01-31 19:00:00,24.0002488,53.9994829
,Philippines,01/31/2020 19:00,1,0,0,2020-01-31 19:00:00,12.7503486,122.7312101
,India,01/31/2020 19:00,1,0,0,2020-01-31 19:00:00,16.3876987,73.7305913
,Italy,01/31/2020 19:00,2,0,0,2020-01-31 19:00:00,46.3144754,11.0480288
,Sweden,01/31/2020 19:00,1,0,0,2020-01-31 19:00:00,63.4352121,14.8290863
,Russia,01/31/2020 19:00,2,0,0,2020-01-31 19:00:00,48.2783785,46.1663642
,Spain,01/31/2020 19:00,1,0,0,2020-01-31 19:00:00,39.3262345,-4.8380649
,UK,01/31/2020 19:00,2,0,0,2020-01-31 19:00:00,54.7023545,-3.2765753
