Province/State,Country/Region,Confirmed,Recovered,Tests,Critical,Remaining,Deaths,Date_last_updated_AEDT,Population,Continent,World,lat,lon
Acre,Brazil,1014,,,,,36,2020-05-08,881935,South America,Worldwide,-9.0478679,-70.52649759999998
Amapá,Brazil,2199,,,,,61,2020-05-08,845731,South America,Worldwide,1.3545441999999999,-51.9161977
Amazonas,Brazil,10099,,,,,806,2020-05-08,4144597,South America,Worldwide,-4.479925,-63.518539600000004
Pará,Brazil,5524,,,,,410,2020-05-08,8602865,South America,Worldwide,-4.7493932999999995,-52.89730060000001
Rondônia,Brazil,1098,,,,,37,2020-05-08,1777225,South America,Worldwide,-10.943145,-62.8277863
Roraima,Brazil,1020,,,,,14,2020-05-08,605761,South America,Worldwide,2.135138,-61.3631922
Tocantins,Brazil,423,,,,,9,2020-05-08,1572866,South America,Worldwide,-10.8855129,-48.3716912
Alagoas,Brazil,1867,,,,,98,2020-05-08,3337357,South America,Worldwide,-9.661166099999999,-36.650242600000006
Bahia,Brazil,4528,,,,,165,2020-05-08,14873064,South America,Worldwide,-12.285250999999999,-41.9294776
Ceará,Brazil,13888,,,,,903,2020-05-08,9132078,South America,Worldwide,-5.3264703,-39.715607299999995
Maranhão,Brazil,5389,,,,,305,2020-05-08,7075181,South America,Worldwide,-5.2085503,-45.3930262
Paraíba,Brazil,1657,,,,,101,2020-05-08,4018127,South America,Worldwide,-7.1219366,-36.724684499999995
Pernambuco,Brazil,10824,,,,,845,2020-05-08,9557071,South America,Worldwide,-8.4116316,-37.591969899999995
Piauí,Brazil,1051,,,,,35,2020-05-08,3273227,South America,Worldwide,-7.699278200000001,-42.504378700000004
Rio Grande do Norte,Brazil,1739,,,,,76,2020-05-08,3506853,South America,Worldwide,-5.6781175,-36.4781776
Sergipe,Brazil,1214,,,,,25,2020-05-08,2298696,South America,Worldwide,-10.6743911,-37.377351899999994
Federal District,Brazil,2258,,,,,35,2020-05-08,3015268,South America,Worldwide,-15.7754462,-47.7970891
Goiás,Brazil,1027,,,,,44,2020-05-08,7018354,South America,Worldwide,-15.932366199999999,-50.13929279999999
Mato Grosso,Brazil,417,,,,,13,2020-05-08,3484466,South America,Worldwide,-12.2115009,-55.5716547
Mato Grosso do Sul,Brazil,311,,,,,10,2020-05-08,2778986,South America,Worldwide,-19.5852564,-54.4794731
Espírito Santo,Brazil,3838,,,,,155,2020-05-08,4018650,South America,Worldwide,-19.5687682,-40.1721991
Minas Gerais,Brazil,2770,,,,,106,2020-05-08,21168791,South America,Worldwide,-18.526484399999998,-44.158865399999996
Rio de Janeiro,Brazil,14156,,,,,1394,2020-05-08,17264943,South America,Worldwide,-22.911013699999998,-43.2093727
São Paulo,Brazil,39928,,,,,3206,2020-05-08,45919049,South America,Worldwide,-23.5506507,-46.633382399999995
Paraná,Brazil,1656,,,,,104,2020-05-08,11433957,South America,Worldwide,-24.4842187,-51.8148872
Rio Grande do Sul,Brazil,2129,,,,,90,2020-05-08,11286500,South America,Worldwide,-29.8425284,-53.76805770000001
Santa Catarina,Brazil,3082,,,,,63,2020-05-08,6727000,South America,Worldwide,-27.0628367,-51.114965000000005
