Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered,Tests,Critical,Date_last_updated_AEDT,Remaining,Population,Continent,World,lat,lon
Heilongjiang,China,05/07/2020 20:00,944,13,793,0,0,2020-05-08 11:00:00,138,38310000.0,Asia,Worldwide,48.000004700000005,127.99999199999999
Shanghai,China,05/07/2020 20:00,657,7,620,0,0,2020-05-08 11:00:00,30,24280000.0,Asia,Worldwide,31.225298499999997,121.4890497
Inner Mongolia,China,05/07/2020 20:00,201,1,171,0,0,2020-05-08 11:00:00,29,24710000.0,Asia,Worldwide,43.2443242,114.32516640000001
Shaanxi,China,05/07/2020 20:00,308,3,266,0,0,2020-05-08 11:00:00,39,37330000.0,Asia,Worldwide,36.0,109.0
Beijing,China,05/07/2020 20:00,593,9,557,0,0,2020-05-08 11:00:00,27,21540000.0,Asia,Worldwide,39.906217,116.3912757
Shanxi,China,05/07/2020 20:00,198,0,194,0,0,2020-05-08 11:00:00,4,36500000.0,Asia,Worldwide,37.0,112.0
Guangdong,China,05/07/2020 20:00,1589,8,1575,0,0,2020-05-08 11:00:00,6,113460000.0,Asia,Worldwide,23.135769399999997,113.19826880000001
Shandong,China,05/07/2020 20:00,788,7,775,0,0,2020-05-08 11:00:00,6,100472400.0,Asia,Worldwide,36.0000001,118.9999999
Jilin,China,05/07/2020 20:00,112,1,103,0,0,2020-05-08 11:00:00,8,27460000.0,Asia,Worldwide,42.9995032,125.9816054
Jiangsu,China,05/07/2020 20:00,653,0,651,0,0,2020-05-08 11:00:00,2,80400000.0,Asia,Worldwide,33.0000001,119.9999999
Fujian,China,05/07/2020 20:00,356,1,354,0,0,2020-05-08 11:00:00,1,38560000.0,Asia,Worldwide,26.5450001,117.84277800000001
Tianjin,China,05/07/2020 20:00,190,3,186,0,0,2020-05-08 11:00:00,1,15621200.0,Asia,Worldwide,39.1235635,117.1980785
Hebei,China,05/07/2020 20:00,328,6,320,0,0,2020-05-08 11:00:00,2,74700000.0,Asia,Worldwide,39.0000001,116.0
Yunnan,China,05/07/2020 20:00,185,2,181,0,0,2020-05-08 11:00:00,2,45970000.0,Asia,Worldwide,25.0,102.0
Hubei,China,05/07/2020 20:00,68128,4512,63616,0,0,2020-05-08 11:00:00,0,58500000.0,Asia,Worldwide,31.151725199999998,112.87832220000001
Henan,China,05/07/2020 20:00,1276,22,1254,0,0,2020-05-08 11:00:00,0,95590000.0,Asia,Worldwide,34.0000001,113.9999999
Zhejiang,China,05/07/2020 20:00,1268,1,1267,0,0,2020-05-08 11:00:00,0,57370000.0,Asia,Worldwide,29.000000099999998,119.9999999
Hunan,China,05/07/2020 20:00,1019,4,1015,0,0,2020-05-08 11:00:00,0,67370000.0,Asia,Worldwide,27.6662087,111.74870630000001
Anhui,China,05/07/2020 20:00,991,6,985,0,0,2020-05-08 11:00:00,0,62000000.0,Asia,Worldwide,32.0,117.0
Jiangxi,China,05/07/2020 20:00,937,1,936,0,0,2020-05-08 11:00:00,0,45200000.0,Asia,Worldwide,28.0,116.0
Chongqing,China,05/07/2020 20:00,579,6,573,0,0,2020-05-08 11:00:00,0,30480000.0,Asia,Worldwide,29.5585712,106.5492822
Sichuan,China,05/07/2020 20:00,561,3,558,0,0,2020-05-08 11:00:00,0,81100000.0,Asia,Worldwide,30.500000099999998,102.4999999
Guangxi,China,05/07/2020 20:00,254,2,252,0,0,2020-05-08 11:00:00,0,48380000.0,Asia,Worldwide,24.0,109.0
Hainan,China,05/07/2020 20:00,168,6,162,0,0,2020-05-08 11:00:00,0,9258000.0,Asia,Worldwide,19.2000001,109.5999999
Guizhou,China,05/07/2020 20:00,147,2,145,0,0,2020-05-08 11:00:00,0,34750000.0,Asia,Worldwide,27.0,107.0
Liaoning,China,05/07/2020 20:00,146,2,144,0,0,2020-05-08 11:00:00,0,43900000.0,Asia,Worldwide,40.9739116,122.3263915
Gansu,China,05/07/2020 20:00,139,2,137,0,0,2020-05-08 11:00:00,0,25580000.0,Asia,Worldwide,38.0000001,101.9999999
Xinjiang,China,05/07/2020 20:00,76,3,73,0,0,2020-05-08 11:00:00,0,21810000.0,Asia,Worldwide,41.7574769,87.1673842
Ningxia,China,05/07/2020 20:00,75,0,75,0,0,2020-05-08 11:00:00,0,6301000.0,Asia,Worldwide,37.3095528,105.9608553
Qinghai,China,05/07/2020 20:00,18,0,18,0,0,2020-05-08 11:00:00,0,5627000.0,Asia,Worldwide,35.40709520000001,95.95211570000001
Tibet,China,05/07/2020 20:00,1,0,1,0,0,2020-05-08 11:00:00,0,3180000.0,Asia,Worldwide,31.894343199999998,87.07813709999999
New South Wales,Australia,05/07/2020 20:00,3047,44,2486,271796,0,2020-05-08 11:00:00,517,7544000.0,Oceania,Worldwide,-33.8548157,151.2164539
Queensland,Australia,05/07/2020 20:00,1045,6,989,124898,0,2020-05-08 11:00:00,50,5071000.0,Oceania,Worldwide,-27.468968199999996,153.02349909999998
Victoria,Australia,05/07/2020 20:00,1454,18,1322,176507,0,2020-05-08 11:00:00,114,6359000.0,Oceania,Worldwide,-37.814217600000006,144.9631608
South Australia,Australia,05/07/2020 20:00,439,4,433,65167,0,2020-05-08 11:00:00,2,1677000.0,Oceania,Worldwide,-34.928180499999996,138.5999312
Western Australia,Australia,05/07/2020 20:00,551,9,531,51352,0,2020-05-08 11:00:00,11,2589000.0,Oceania,Worldwide,-31.952712100000003,115.86047959999999
Tasmania,Australia,05/07/2020 20:00,226,13,170,17045,0,2020-05-08 11:00:00,43,515000.0,Oceania,Worldwide,-42.8825088,147.3281233
Australian Capital Territory,Australia,05/07/2020 20:00,107,3,103,10478,0,2020-05-08 11:00:00,1,412576.0,Oceania,Worldwide,-35.488350200000006,149.00269419999998
Northern Territory,Australia,05/07/2020 20:00,29,0,28,5003,0,2020-05-08 11:00:00,1,211945.0,Oceania,Worldwide,-12.46044,130.8410469
New York,US,05/07/2020 20:00,336463,26130,35822,0,0,2020-05-08 11:00:00,274511,19542200.0,North America,Worldwide,40.7127281,-74.0060152
New Jersey,US,05/07/2020 20:00,133635,8801,730,0,0,2020-05-08 11:00:00,124104,8909000.0,North America,Worldwide,40.0757384,-74.4041622
Massachusetts,US,05/07/2020 20:00,73721,4552,5708,0,0,2020-05-08 11:00:00,63461,6902000.0,North America,Worldwide,42.3788774,-72.03236600000001
Illinois,US,05/07/2020 20:00,70871,3111,715,0,0,2020-05-08 11:00:00,67045,12740000.0,North America,Worldwide,40.079660600000004,-89.4337288
California,US,05/07/2020 20:00,61140,2476,3975,0,0,2020-05-08 11:00:00,54689,39560000.0,North America,Worldwide,36.7014631,-118.75599740000001
Pennsylvania,US,05/07/2020 20:00,55956,3589,1080,0,0,2020-05-08 11:00:00,51287,12810000.0,North America,Worldwide,40.9699889,-77.72788309999999
Michigan,US,05/07/2020 20:00,45745,4346,15674,0,0,2020-05-08 11:00:00,25725,9996000.0,North America,Worldwide,43.6211955,-84.6824346
Florida,US,05/07/2020 20:00,38828,1600,174,0,0,2020-05-08 11:00:00,37054,21300000.0,North America,Worldwide,27.7567667,-81.4639835
Texas,US,05/07/2020 20:00,35687,977,14699,0,0,2020-05-08 11:00:00,20011,28700000.0,North America,Worldwide,31.8160381,-99.51209859999999
Connecticut,US,05/07/2020 20:00,31784,2797,63,0,0,2020-05-08 11:00:00,28924,3573000.0,North America,Worldwide,41.6500201,-72.7342163
