Province/State,Country/Region,Confirmed,Recovered,Tests,Critical,Remaining,Deaths,Date_last_updated_AEDT,Population,Continent,World,lat,lon
Acre,Brazil,14622,,,,,391,2020-07-06,881935,South America,Worldwide,-9.0478679,-70.52649759999998
Amapá,Brazil,29883,,,,,442,2020-07-06,845731,South America,Worldwide,1.3545441999999999,-51.9161977
Amazonas,Brazil,76014,,,,,2929,2020-07-06,4144597,South America,Worldwide,-4.479925,-63.518539600000004
Pará,Brazil,114535,,,,,5105,2020-07-06,8602865,South America,Worldwide,-4.7493932999999995,-52.89730060000001
Rondônia,Brazil,23479,,,,,555,2020-07-06,1777225,South America,Worldwide,-10.943145,-62.8277863
Roraima,Brazil,18948,,,,,371,2020-07-06,605761,South America,Worldwide,2.135138,-61.3631922
Tocantins,Brazil,12476,,,,,220,2020-07-06,1572866,South America,Worldwide,-10.8855129,-48.3716912
Alagoas,Brazil,39935,,,,,1153,2020-07-06,3337357,South America,Worldwide,-9.661166099999999,-36.650242600000006
Bahia,Brazil,87048,,,,,2107,2020-07-06,14873064,South America,Worldwide,-12.285250999999999,-41.9294776
Ceará,Brazil,121986,,,,,6441,2020-07-06,9132078,South America,Worldwide,-5.3264703,-39.715607299999995
Maranhão,Brazil,89714,,,,,2219,2020-07-06,7075181,South America,Worldwide,-5.2085503,-45.3930262
Paraíba,Brazil,52728,,,,,1099,2020-07-06,4018127,South America,Worldwide,-7.1219366,-36.724684499999995
Pernambuco,Brazil,65129,,,,,5143,2020-07-06,9557071,South America,Worldwide,-8.4116316,-37.591969899999995
Piauí,Brazil,26511,,,,,809,2020-07-06,3273227,South America,Worldwide,-7.699278200000001,-42.504378700000004
Rio Grande do Norte,Brazil,34717,,,,,1219,2020-07-06,3506853,South America,Worldwide,-5.6781175,-36.4781776
Sergipe,Brazil,30217,,,,,798,2020-07-06,2298696,South America,Worldwide,-10.6743911,-37.377351899999994
Federal District,Brazil,57854,,,,,699,2020-07-06,3015268,South America,Worldwide,-15.7754462,-47.7970891
Goiás,Brazil,28526,,,,,621,2020-07-06,7018354,South America,Worldwide,-15.932366199999999,-50.13929279999999
Mato Grosso,Brazil,21081,,,,,821,2020-07-06,3484466,South America,Worldwide,-12.2115009,-55.5716547
Mato Grosso do Sul,Brazil,10089,,,,,117,2020-07-06,2778986,South America,Worldwide,-19.5852564,-54.4794731
Espírito Santo,Brazil,53393,,,,,1804,2020-07-06,4018650,South America,Worldwide,-19.5687682,-40.1721991
Minas Gerais,Brazil,58283,,,,,1201,2020-07-06,21168791,South America,Worldwide,-18.526484399999998,-44.158865399999996
Rio de Janeiro,Brazil,121292,,,,,10667,2020-07-06,17264943,South America,Worldwide,-22.911013699999998,-43.2093727
São Paulo,Brazil,320179,,,,,16078,2020-07-06,45919049,South America,Worldwide,-23.5506507,-46.633382399999995
Paraná,Brazil,31459,,,,,795,2020-07-06,11433957,South America,Worldwide,-24.4842187,-51.8148872
Rio Grande do Sul,Brazil,31955,,,,,727,2020-07-06,11286500,South America,Worldwide,-29.8425284,-53.76805770000001
Santa Catarina,Brazil,32969,,,,,393,2020-07-06,6727000,South America,Worldwide,-27.0628367,-51.114965000000005
